target,cell_line,cell_line_idx,run_idx,seed,total_generated,valid_num,unique_num,novel_num,source_ligand_count,valid_rate,unique_rate,novel_rate,diversity,intdivp,max_tanimoto,tanimoto_pair_count,qed,sa,logp,lipinski,mw
HDAC1,MCF7,9,7,49,100,99,95,6,988,99.0,95.95959595959596,6.315789473684211,0.889097884879319,0.7129469719186358,0.6904761904761905,97812,0.4775094126474706,3.816335359552827,4.711323333333336,0.3333333333333333,479.23983333333354
HDAC1,MCF7,9,8,50,100,95,90,3,988,95.0,94.73684210526316,3.3333333333333335,0.893667389770515,0.7429225425902359,0.5733333333333334,93860,0.46961436127259376,3.6738379590217636,2.5386000000000015,0.6666666666666666,422.1903333333335
HDAC1,MCF7,9,9,51,100,96,93,7,988,96.0,96.875,7.526881720430108,0.8856610001602898,0.6935932404128757,0.671875,94848,0.49333426882588843,3.454809161286373,3.3473771428571446,0.42857142857142855,502.75071428571437
MTOR,MCF7,9,0,42,100,96,92,1,1480,96.0,95.83333333333333,1.0869565217391304,0.8890128529524852,0.7424394958525298,1.0,142080,0.7530728005117788,1.2378919536092,2.8638000000000012,1,214.268
MTOR,MCF7,9,1,43,100,96,96,6,1480,96.0,100.0,6.25,0.889306836852827,0.7099530141746443,0.543859649122807,142080,0.5537467634186845,2.803732618093754,3.139433333333335,0.8333333333333334,359.0970000000001
MTOR,MCF7,9,2,44,100,94,87,3,1480,94.0,92.55319148936171,3.4482758620689653,0.8816492496458104,0.6747383854540481,0.8375,139120,0.5487422095966111,3.879678831969555,2.8773000000000017,0.6666666666666666,496.6036666666669
MTOR,MCF7,9,3,45,100,93,91,6,1480,93.0,97.84946236559139,6.593406593406593,0.8926008130594739,0.7405226549719213,1.0,137640,0.5662908940446134,2.9000163514807817,3.0469333333333357,0.6666666666666666,365.1528333333335
MTOR,MCF7,9,4,46,100,98,93,5,1480,98.0,94.89795918367346,5.376344086021505,0.8883437243828937,0.7211063844375775,0.7457627118644068,145040,0.5005585921280048,3.820726198188929,2.0818340000000037,0.6,487.9534000000001
MTOR,MCF7,9,5,47,100,99,93,3,1480,99.0,93.93939393939394,3.225806451612903,0.8862563668828687,0.7147958504377739,0.5697674418604651,146520,0.5554257703113255,3.4654419421760427,3.235233333333337,0.6666666666666666,400.2046666666668
MTOR,MCF7,9,6,48,100,99,95,3,1480,99.0,95.95959595959596,3.1578947368421053,0.884861020816074,0.715543774269343,1.0,146520,0.6153936552164678,3.75448740531005,3.729573333333336,0.3333333333333333,434.87533333333346
