[Cl-].[K+],DB00761,Potassium chloride
N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,DB09343,Tipiracil
[K+].[OH-],DB11153,Potassium hydroxide
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,DB00328,Indomethacin
S1SSSSSSS1.[99Tc],DB09397,Technetium Tc-99m sulfur colloid
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,DB00482,Celecoxib
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,DB01248,Docetaxel
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,DB00586,Diclofenac
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],DB11126,Calcium gluconate
O=C1O[Bi](O)Oc2ccccc21,DB01294,Bismuth subsalicylate
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,DB00432,Trifluridine
O.[Al+3].[Al+3].[Mg+2].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],DB13595,Almasilate
C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CN2CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(=O)O.[177Lu+3],DB13985,Lutetium Lu 177 dotatate
O=P([O-])([O-])[O-].[Al+3],DB14517,Aluminium phosphate
[Cl-].[Na+],DB09153,Sodium chloride
[Na+].[Na+].[O-][Si]1([O-])O[Si]([O-])([O-])O[Si]([O-])([O-])O1.[Zr],DB14048,Sodium zirconium cyclosilicate
[Mg+2].[O-2],DB01377,Magnesium oxide
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,DB09084,Benzydamine
COc1ccc2cc(CCC(C)=O)ccc2c1,DB00461,Nabumetone
[Mg+2].[OH-].[OH-],DB09104,Magnesium hydroxide
O=C([O-])[O-].[Mg+2],DB09481,Magnesium carbonate
O=C(O)c1ccccc1,DB03793,Benzoic acid
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,DB13180,Gluconic Acid
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],DB09241,Methylene blue
Cn1c(=O)c2c(ncn2C)n(C)c1=O,DB00201,Caffeine
CC(=O)[O-].[Na+],DB09395,Sodium acetate
[Ca+2].[Cl-].[Cl-],DB01164,Calcium chloride
