model,protein_name,run_idx,valid_num,unique_raw_num,novelty_gxvaes_percent,max_tanimoto_gxvaes
Tx2Mol-original-replay-20260925,HDAC1,6,97,94,88.29787234042553,0.6904761904761905
Tx2Mol-original-replay-20260925,HDAC1,7,94,90,88.88888888888889,0.5733333333333334
Tx2Mol-original-replay-20260925,HDAC1,8,98,91,83.51648351648352,0.39080459770114945
Tx2Mol-original-replay-20260925,HDAC1,9,96,93,82.79569892473118,0.7796610169491526
Tx2Mol-original-replay-20260925,MTOR,0,96,93,83.87096774193549,0.5697674418604651
Tx2Mol-original-replay-20260925,MTOR,1,99,96,80.20833333333333,0.8805970149253731
Tx2Mol-original-replay-20260925,MTOR,2,97,96,85.41666666666667,0.8375
Tx2Mol-original-replay-20260925,MTOR,3,98,96,84.375,0.8375
Tx2Mol-original-replay-20260925,MTOR,4,98,91,84.61538461538461,0.8375
Tx2Mol-original-replay-20260925,MTOR,5,97,87,79.3103448275862,0.8545454545454545
Tx2Mol-original-replay-20260925,MTOR,6,98,93,81.72043010752688,0.703125
Tx2Mol-original-replay-20260925,MTOR,7,97,93,78.49462365591398,0.6923076923076923
Tx2Mol-original-replay-20260925,MTOR,8,96,95,86.3157894736842,0.5901639344262295
Tx2Mol-original-replay-20260925,MTOR,9,98,94,85.1063829787234,0.8805970149253731
Tx2Mol-original-replay-20260925,PIK3CA,0,99,95,81.05263157894737,0.7313432835820896
Tx2Mol-original-replay-20260925,PIK3CA,1,99,95,80.0,0.3815789473684211
Tx2Mol-original-replay-20260925,PIK3CA,2,99,98,81.63265306122449,0.4507042253521127
Tx2Mol-original-replay-20260925,PIK3CA,3,100,95,81.05263157894737,0.6363636363636364
Tx2Mol-original-replay-20260925,PIK3CA,4,98,97,75.25773195876289,0.425
Tx2Mol-original-replay-20260925,PIK3CA,5,97,94,84.04255319148936,0.379746835443038
Tx2Mol-original-replay-20260925,PIK3CA,6,96,92,83.69565217391305,0.48484848484848486
Tx2Mol-original-replay-20260925,PIK3CA,7,99,93,88.17204301075269,0.7
Tx2Mol-original-replay-20260925,PIK3CA,8,96,95,82.10526315789474,1.0
Tx2Mol-original-replay-20260925,PIK3CA,9,97,95,85.26315789473684,1.0
Tx2Mol-original-replay-20260925,SMAD3,0,99,95,84.21052631578948,0.8552631578947368
Tx2Mol-original-replay-20260925,SMAD3,1,98,98,82.65306122448979,0.8333333333333334
Tx2Mol-original-replay-20260925,SMAD3,2,99,96,84.375,0.8493150684931506
Tx2Mol-original-replay-20260925,SMAD3,3,99,99,88.88888888888889,0.8888888888888888
Tx2Mol-original-replay-20260925,SMAD3,4,100,98,81.63265306122449,1.0
Tx2Mol-original-replay-20260925,SMAD3,5,99,95,84.21052631578948,1.0
Tx2Mol-original-replay-20260925,SMAD3,6,99,96,82.29166666666667,0.7792207792207793
Tx2Mol-original-replay-20260925,SMAD3,7,100,99,84.84848484848484,0.868421052631579
Tx2Mol-original-replay-20260925,SMAD3,8,97,97,89.69072164948453,0.8235294117647058
Tx2Mol-original-replay-20260925,SMAD3,9,98,96,85.41666666666667,0.9142857142857143
Tx2Mol-original-replay-20260925,TP53,0,96,92,83.69565217391305,0.8055555555555556
Tx2Mol-original-replay-20260925,TP53,1,97,94,85.1063829787234,0.6727272727272727
Tx2Mol-original-replay-20260925,TP53,2,99,96,78.125,1.0
Tx2Mol-original-replay-20260925,TP53,3,94,88,72.72727272727273,1.0
Tx2Mol-original-replay-20260925,TP53,4,96,92,81.52173913043478,1.0
Tx2Mol-original-replay-20260925,TP53,5,98,95,86.3157894736842,1.0
Tx2Mol-original-replay-20260925,TP53,6,98,93,80.64516129032258,1.0
Tx2Mol-original-replay-20260925,TP53,7,96,93,84.94623655913979,1.0
Tx2Mol-original-replay-20260925,TP53,8,97,96,79.16666666666667,1.0
Tx2Mol-original-replay-20260925,TP53,9,99,98,84.6938775510204,0.5357142857142857
